"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Pulling","10 Jun 2024, 22:05","10 Jun 2024, 22:56","Ich hoffe es gab kein skinboost","Lat Pulldown (Cable)",,"",0,"warmup",35,10,,,
"Pulling","10 Jun 2024, 22:05","10 Jun 2024, 22:56","Ich hoffe es gab kein skinboost","Lat Pulldown (Cable)",,"",1,"normal",49,8,,,
"Pulling","10 Jun 2024, 22:05","10 Jun 2024, 22:56","Ich hoffe es gab kein skinboost","Lat Pulldown (Cable)",,"",2,"normal",49,8,,,
"Pulling","10 Jun 2024, 22:05","10 Jun 2024, 22:56","Ich hoffe es gab kein skinboost","Lat Pulldown (Cable)",,"",3,"normal",49,8,,,
"Pulling","10 Jun 2024, 22:05","10 Jun 2024, 22:56","Ich hoffe es gab kein skinboost","Seated Cable Row - Bar Grip",,"",0,"normal",60,8,,,
"Pulling","10 Jun 2024, 22:05","10 Jun 2024, 22:56","Ich hoffe es gab kein skinboost","Seated Cable Row - Bar Grip",,"",1,"normal",60,8,,,
"Pulling","10 Jun 2024, 22:05","10 Jun 2024, 22:56","Ich hoffe es gab kein skinboost","Seated Cable Row - Bar Grip",,"",2,"normal",60,8,,,
"Pulling","10 Jun 2024, 22:05","10 Jun 2024, 22:56","Ich hoffe es gab kein skinboost","Back Extension (Weighted Hyperextension)",,"",0,"normal",10,8,,,
"Pulling","10 Jun 2024, 22:05","10 Jun 2024, 22:56","Ich hoffe es gab kein skinboost","Back Extension (Weighted Hyperextension)",,"",1,"normal",10,8,,,
"Pulling","10 Jun 2024, 22:05","10 Jun 2024, 22:56","Ich hoffe es gab kein skinboost","Back Extension (Weighted Hyperextension)",,"",2,"normal",10,8,,,
"Pulling","10 Jun 2024, 22:05","10 Jun 2024, 22:56","Ich hoffe es gab kein skinboost","Latzug",,"",0,"normal",50,8,,,
"Pulling","10 Jun 2024, 22:05","10 Jun 2024, 22:56","Ich hoffe es gab kein skinboost","Latzug",,"",1,"normal",50,6,,,
"Pulling","10 Jun 2024, 22:05","10 Jun 2024, 22:56","Ich hoffe es gab kein skinboost","Latzug",,"",2,"normal",50,6,,,
"Pulling","10 Jun 2024, 22:05","10 Jun 2024, 22:56","Ich hoffe es gab kein skinboost","EZ Bar Biceps Curl",,"",0,"normal",20,8,,,
"Pulling","10 Jun 2024, 22:05","10 Jun 2024, 22:56","Ich hoffe es gab kein skinboost","EZ Bar Biceps Curl",,"",1,"normal",20,8,,,
"Pulling","10 Jun 2024, 22:05","10 Jun 2024, 22:56","Ich hoffe es gab kein skinboost","EZ Bar Biceps Curl",,"",2,"normal",20,8,,,
"Pulling","10 Jun 2024, 22:05","10 Jun 2024, 22:56","Ich hoffe es gab kein skinboost","Rear Delt Reverse Fly (Machine)",,"",0,"normal",35,8,,,
"Pulling","10 Jun 2024, 22:05","10 Jun 2024, 22:56","Ich hoffe es gab kein skinboost","Rear Delt Reverse Fly (Machine)",,"",1,"normal",35,8,,,
"Pulling","10 Jun 2024, 22:05","10 Jun 2024, 22:56","Ich hoffe es gab kein skinboost","Rear Delt Reverse Fly (Machine)",,"",2,"normal",35,8,,,
"Pulling","10 Jun 2024, 22:05","10 Jun 2024, 22:56","Ich hoffe es gab kein skinboost","Rope Cable Curl",,"",0,"normal",10,10,,,
"Pulling","10 Jun 2024, 22:05","10 Jun 2024, 22:56","Ich hoffe es gab kein skinboost","Rope Cable Curl",,"",1,"normal",10,10,,,
"Pulling","10 Jun 2024, 22:05","10 Jun 2024, 22:56","Ich hoffe es gab kein skinboost","Rope Cable Curl",,"",2,"normal",10,10,,,
"Lower","7 Jun 2024, 17:37","7 Jun 2024, 18:48","","Leg Press (Machine)",,"",0,"warmup",80,12,,,
"Lower","7 Jun 2024, 17:37","7 Jun 2024, 18:48","","Leg Press (Machine)",,"",1,"normal",120,10,,,
"Lower","7 Jun 2024, 17:37","7 Jun 2024, 18:48","","Leg Press (Machine)",,"",2,"normal",120,10,,,
"Lower","7 Jun 2024, 17:37","7 Jun 2024, 18:48","","Leg Press (Machine)",,"",3,"normal",120,10,,,
"Lower","7 Jun 2024, 17:37","7 Jun 2024, 18:48","","Glute",,"",0,"normal",27.5,20,,,
"Lower","7 Jun 2024, 17:37","7 Jun 2024, 18:48","","Glute",,"",1,"normal",30,16,,,
"Lower","7 Jun 2024, 17:37","7 Jun 2024, 18:48","","Glute",,"",2,"normal",30,16,,,
